Serial Number,Product Name,Input Image Urls
1,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
2,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
3,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
4,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
5,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
6,Headphones,https://shop.zebronics.com/cdn/shop/files/Zeb-Thunderpro-blue-pic-1.jpg?v=1709202990&width=1200
7,Smartwatch,https://m.media-amazon.com/images/I/71pj1+SCfvL.jpg
8,Smartwatch,https://m.media-amazon.com/images/I/71pj1+SCfvL.jpg
9,Laptop,"https://m.media-amazon.com/images/I/510uTHyDqGL._AC_UF1000,1000_QL80_.jpg"
10,Laptop,"https://m.media-amazon.com/images/I/510uTHyDqGL._AC_UF1000,1000_QL80_.jpg"
11,Smartwatch,https://m.media-amazon.com/images/I/71pj1+SCfvL.jpg
12,Laptop,"https://m.media-amazon.com/images/I/510uTHyDqGL._AC_UF1000,1000_QL80_.jpg"
13,Headphones,https://shop.zebronics.com/cdn/shop/files/Zeb-Thunderpro-blue-pic-1.jpg?v=1709202990&width=1200
14,Smartphone,https://www.ibef.org/uploads/blog/blog_athletic-woman_16thsept.jpg
15,Headphones,https://shop.zebronics.com/cdn/shop/files/Zeb-Thunderpro-blue-pic-1.jpg?v=1709202990&width=1200
16,Laptop,"https://m.media-amazon.com/images/I/510uTHyDqGL._AC_UF1000,1000_QL80_.jpg"
17,Headphones,https://shop.zebronics.com/cdn/shop/files/Zeb-Thunderpro-blue-pic-1.jpg?v=1709202990&width=1200
18,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
19,Laptop,"https://m.media-amazon.com/images/I/510uTHyDqGL._AC_UF1000,1000_QL80_.jpg"
20,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
21,Smartphone,https://www.ibef.org/uploads/blog/blog_athletic-woman_16thsept.jpg
22,Tablet,https://m.media-amazon.com/images/I/715Dsu2jxWL.jpg
